"X","datetimestamp","language","doc_id","negative","positive","neg_positive","neg_negative","hub_id","event_date","event_title","speaker_type","speaker_party","speaker_gender","intervention_id","speaker_country","speaker_polgroup","intervention_lang","speaker_full_name","intervention_header","intervention_seq_num","intervention_header_en","subject_of_business_id","subject_of_business_title","tone","paragraph","paragraphLower","iaRestreint","Perception.IA","Mention.Régulation.IA","Perception.regulation","Mention.éthique.IA","term","intervention_text_cleaned","is_mep","ai_topic_category_num","ai_topic_category","speaker_polgroup_normalized"
1,"2023-10-13T00:30:48Z","en","2014-02-26-720140226EN1632",5,24,0,0,24197,"2014-02-26","Wednesday, 26 February 2014 - Strasbourg","MEP On Behalf Of The Ppe Group","Christlich Demokratische Union Deutschlands","male","720140226EN1632","Germany","Group Of The European People's Party (Christian Democrats)","de","Gahler, Michael","Michael Gahler, im Namen der PPE-Fraktion",1632,"Michael Gahler, on behalf of the PPE Group",15,"Use of armed drones (debate)",19,"with this resolution, however, we are also making it clear that we are of course against fully automated drones. and indeed, it must always be left up to a person and not an algorithm to determine whether the framework of international law is observed and whether the legitimate use of weapons is guaranteed. so we are in agreement on this question.","with this resolution, however, we are also making it clear that we are of course against fully automated drones. and indeed, it must always be left up to a person and not an algorithm to determine whether the framework of international law is observed and whether the legitimate use of weapons is guaranteed. so we are in agreement on this question.",TRUE,"Pessimist","No",NA,"No",NA,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)"
2,"2023-10-13T00:30:49Z","en","2014-11-26-820141126EN638",7,21,0,0,42866,"2014-11-26","Wednesday, 26 November 2014 - Strasbourg","MEP","Partito Democratico","male","820141126EN638","Italy","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","it","Caputo, Nicola","Nicola Caputo (S&D)",638,"Nicola Caputo (S&D)",20,"Digital single market (debate)",14,"i don't find it hard to believe, to mention one critical issue, that the algorithm itself internet search of the most used engine (google) may not be indifferent to the need to return, even through subsequent and unaware acceptances by the user, geolocation and other references, customized responses that respond to market logics and perhaps not in competition rather than free competition.","i don't find it hard to believe, to mention one critical issue, that the algorithm itself internet search of the most used engine (google) may not be indifferent to the need to return, even through subsequent and unaware acceptances by the user, geolocation and other references, customized responses that respond to market logics and perhaps not in competition rather than free competition.",TRUE,NA,"No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
3,"2023-10-13T00:30:53Z","en","2016-04-14-820160414EN1694",4,9,0,0,158943,"2016-04-14","Thursday, 14 April 2016 - Strasbourg","MEP","Saskaņa Sociāldemokrātiskā Partija","male","820160414EN1694","Latvia","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","en","Mamikins, Andrejs","Andrejs Mamikins (S&D)",1694,"Andrejs Mamikins (S&D)",12,"Autonomous driving (debate)",5,"another principal issue is security. you would not want to be kidnapped while still in your own car when it suddenly rushes off course. as a result, i fully support the idea that the commission, alongside national governments, should soon start drawing up a respective strategy for this area of transportation. having said that, we should never forget about skynet/terminator, with virtual intelligence turning into artificial intelligence and robots some day receiving rights of their own in a few decades, and that soon we might have to deal with the question of how much control we ourselves have over our own lives.","another principal issue is security. you would not want to be kidnapped while still in your own car when it suddenly rushes off course. as a result, i fully support the idea that the commission, alongside national governments, should soon start drawing up a respective strategy for this area of transportation. having said that, we should never forget about skynet/terminator, with virtual intelligence turning into artificial intelligence and robots some day receiving rights of their own in a few decades, and that soon we might have to deal with the question of how much control we ourselves have over our own lives.",TRUE,"Pessimist","Yes","In favor","No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
4,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN30",2,8,0,0,181640,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Suomen Keskusta","male","820170215EN30","Finland","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","fi","Takkula, Hannu","Hannu Takkula (ALDE), vastaus sinisen kortin kysymykseen",30,"Hannu Takkula (ALDE), answer to the blue card question",4,"EU-Canada Comprehensive Economic and Trade Agreement - Conclusion of the EU-Canada CETA - EU-Canada Strategic Partnership Agreement (debate)",6,"on the other hand, as i stated, this is needed in terms of employment. it is good to remember that free trade creates jobs. automation, robots and artificial intelligence will take them. we need healthy free trade, and the focus is specifically on smes.","on the other hand, as i stated, this is needed in terms of employment. it is good to remember that free trade creates jobs. automation, robots and artificial intelligence will take them. we need healthy free trade, and the focus is specifically on smes.",TRUE,"Pessimist","No",NA,"No",8,NA,TRUE,5,"Education, Skills Development, and Workforce Transformation","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
5,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN331",20,38,1,0,181941,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","Rapporteur","Parti Ouvrier Socialiste Luxembourgeois","female","820170215EN331","Luxembourg","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","fr","Delvaux, Mady","Mady Delvaux, rapporteure",331,"Mady Delvaux, rapporteur",14,"Civil Law Rules on Robotics (debate)",18,"i would like to clarify two points from the outset: first, robots are not humans and there is no assimilate them to human beings, and secondly, european robotics industry and research are very successful and we intend to support them. robotics and artificial intelligence are sectors of the future. it is important that europe remains competitive in the global market. this is why the time has come to set out the principles that will serve as guidelines and a framework for the development of robotics. we must regulate, without excess, when necessary.","i would like to clarify two points from the outset: first, robots are not humans and there is no assimilate them to human beings, and secondly, european robotics industry and research are very successful and we intend to support them. robotics and artificial intelligence are sectors of the future. it is important that europe remains competitive in the global market. this is why the time has come to set out the principles that will serve as guidelines and a framework for the development of robotics. we must regulate, without excess, when necessary.",TRUE,"Optimist","Yes","In favor","No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
6,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN332",8,15,0,0,181942,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","Rapporteur For The Opinion Of The Committee On Civil Liberties, Justice And Home Affairs","Platforma Obywatelska","male","820170215EN332","Poland","Group Of The European People's Party (Christian Democrats)","en","Boni, Michal","Michał Boni, rapporteur for the opinion of the Committee on Civil Liberties, Justice and Home Affairs",332,"Michał Boni, rapporteur for the opinion of the Committee on Civil Liberties, Justice and Home Affairs",14,"Civil Law Rules on Robotics (debate)",7,"mr president, (inaudible) opportunities of robotics let us take the most recent ones firstly, the fast development of learning machines requires rules, european harmonised standards and the possibility to register all artificial intelligence and have it monitored secondly, ethical principles and respect for fundamental rights are crucial this should begin from the moment constructors start the work with algorithms on privacy and security, to make those by default","mr president, (inaudible) opportunities of robotics let us take the most recent ones firstly, the fast development of learning machines requires rules, european harmonised standards and the possibility to register all artificial intelligence and have it monitored secondly, ethical principles and respect for fundamental rights are crucial this should begin from the moment constructors start the work with algorithms on privacy and security, to make those by default",TRUE,"Optimist","Yes","In favor","Yes",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)"
7,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN334",23,73,0,0,181944,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","Member Of The Commission",NA,"male","820170215EN334",NA,NA,"en","Moedas, Carlos","Carlos Moedas, Member of the Commission",334,"Carlos Moedas, Member of the Commission",14,"Civil Law Rules on Robotics (debate)",50,"mr president, on behalf of my colleague věra jourová let me start by thanking the rapporteur, ms delvaux, and all the meps involved this is a crucial report on all the legal questions related to development of robotics and artificial intelligence this house, to my knowledge, will be one of the first to have a clear and comprehensive position on robotics and artificial intelligence, a topic that is getting great public attention, and rightly so your text highlights the challenges and opportunities of this sector, and points towards a clear need for a coherent european approach you are also calling for europe to have a strong presence and investment in its technology in order to maintain leadership in the european commission, we have long recognised the importance and the potential of robotics and artificial intelligence, and the need for significant investment in these areas we have set an ambitious public and private partnership for robotics in europe: sparc this partnership not only brings the academic and research institutions, industry and business together, but also looks into questions related to ethics and law sparc is by far the biggest civilian research programme in this area in the world, with eur 700 million from eu funding from horizon 2020 to be leveraged up to eur 28 billion by private investment","mr president, on behalf of my colleague věra jourová let me start by thanking the rapporteur, ms delvaux, and all the meps involved this is a crucial report on all the legal questions related to development of robotics and artificial intelligence this house, to my knowledge, will be one of the first to have a clear and comprehensive position on robotics and artificial intelligence, a topic that is getting great public attention, and rightly so your text highlights the challenges and opportunities of this sector, and points towards a clear need for a coherent european approach you are also calling for europe to have a strong presence and investment in its technology in order to maintain leadership in the european commission, we have long recognised the importance and the potential of robotics and artificial intelligence, and the need for significant investment in these areas we have set an ambitious public and private partnership for robotics in europe: sparc this partnership not only brings the academic and research institutions, industry and business together, but also looks into questions related to ethics and law sparc is by far the biggest civilian research programme in this area in the world, with eur 700 million from eu funding from horizon 2020 to be leveraged up to eur 28 billion by private investment",TRUE,"Optimist","No",NA,"Yes",8,NA,FALSE,2,"Ethical, Regulatory, and Governance Frameworks for AI",NA
8,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN336",4,9,0,0,181946,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","male","820170215EN336","Hungary","Non-Attached Members","hu","Kósa, Ádám","Ádám Kósa, A Foglalkoztatási és Szociális Bizottság véleményének előadója",336,"Ádám Kósa, presenter of the opinion of the Employment and Social Committee",14,"Civil Law Rules on Robotics (debate)",5,"dear colleagues! thanking the rapporteur for the year and a half of joint work, we are taking the initiative on behalf of the employment and social committee to investigate whether the spread of robots in itself will bring prosperity and development, when we already see that there is often no need for the work of people in the traditional in production and service structures in the short and medium term, robotics and artificial intelligence indeed promise benefits, but there is a fear that the number of jobs in this field will not increase to the extent that the number of jobs is expected to disappear","dear colleagues! thanking the rapporteur for the year and a half of joint work, we are taking the initiative on behalf of the employment and social committee to investigate whether the spread of robots in itself will bring prosperity and development, when we already see that there is often no need for the work of people in the traditional in production and service structures in the short and medium term, robotics and artificial intelligence indeed promise benefits, but there is a fear that the number of jobs in this field will not increase to the extent that the number of jobs is expected to disappear",TRUE,"Mixed","No",NA,"No",8,NA,TRUE,3,"Social Impacts and Inclusion in the Digital Transformation","Non-attached Members"
9,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN337",10,17,0,1,181947,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","Rapporteur For The Opinion Of The Committee On Industry, Research And Energy","Eesti Reformierakond","female","820170215EN337","Estonia","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","en","Kallas, Kaja","Kaja Kallas, rapporteur for the opinion of the Committee on Industry, Research and Energy",337,"Kaja Kallas, rapporteur for the opinion of the Committee on Industry, Research and Energy",14,"Civil Law Rules on Robotics (debate)",7,"if we think about robots in terms of star wars and terminator, we get it wrong. robots and artificial intelligence are already here in our daily lives, helping us to solve complex tasks. i said ‘helping’ because robots need to compliment humans: both need to, and can, work as a team. our role is to drive policy that makes individuals active consumers of robots rather than passive ones. we cannot, however, have active and empowered individuals if we shift all the responsibility onto robots or manufacturers if something goes wrong. this is the problem with the strict liability approach or an electronic personality for robots.","if we think about robots in terms of star wars and terminator, we get it wrong. robots and artificial intelligence are already here in our daily lives, helping us to solve complex tasks. i said ‘helping’ because robots need to compliment humans: both need to, and can, work as a team. our role is to drive policy that makes individuals active consumers of robots rather than passive ones. we cannot, however, have active and empowered individuals if we shift all the responsibility onto robots or manufacturers if something goes wrong. this is the problem with the strict liability approach or an electronic personality for robots.",TRUE,"Optimist","No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
10,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN342",9,18,0,0,181952,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP On Behalf Of The Ecr Group","Internal Macedonian Revolutionary Organization","male","820170215EN342","Bulgaria","European Conservatives And Reformists Group","bg","Dzhambazki, Angel","Ангел Джамбазки, от името на групата ECR",342,"Angel Djambazki, on behalf of the ECR group",14,"Civil Law Rules on Robotics (debate)",9,"i agree that robotics and artificial intelligence are very rapidly advancing technologies in some sectors and discussion of the resulting issues is necessary. but let me reiterate my concerns, especially when it comes to this legislative proposal. not only are there issues of ethics, morality and societal impact that need to be thoroughly addressed, but there are also far more important, more fundamental issues, such as the application of the so-called ""universal approach of action"" in this matter.","i agree that robotics and artificial intelligence are very rapidly advancing technologies in some sectors and discussion of the resulting issues is necessary. but let me reiterate my concerns, especially when it comes to this legislative proposal. not only are there issues of ethics, morality and societal impact that need to be thoroughly addressed, but there are also far more important, more fundamental issues, such as the application of the so-called ""universal approach of action"" in this matter.",TRUE,"Pessimist","No",NA,"Yes",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","European Conservatives and Reformists Group"
