"X","datetimestamp","language","doc_id","negative","positive","neg_positive","neg_negative","hub_id","event_date","event_title","speaker_type","speaker_party","speaker_gender","intervention_id","speaker_country","speaker_polgroup","intervention_lang","speaker_full_name","intervention_header","intervention_seq_num","intervention_header_en","subject_of_business_id","subject_of_business_title","tone","paragraph","paragraphLower","iaRestreint","Perception.IA","Mention.Régulation.IA","Perception.regulation","Mention.éthique.IA","term","intervention_text_cleaned","is_mep","ai_topic_category_num","ai_topic_category","speaker_polgroup_normalized","manual_intercoder_reconciled_category","speaker_polgroup_clean","weighted_position","total_meps","n_parties","n_countries","political_orientation","rank_left_right","perception_ordered","year","post_chatgpt_factor","country_ai_attitude","gender_clean","topic_digital_economy","topic_education","topic_social_impacts"
1,"2023-10-13T00:30:48Z","en","2014-02-26-720140226EN1632",5,24,0,0,24197,"2014-02-26","Wednesday, 26 February 2014 - Strasbourg","MEP On Behalf Of The Ppe Group","Christlich Demokratische Union Deutschlands","male","720140226EN1632","Germany","Group Of The European People's Party (Christian Democrats)","de","Gahler, Michael","Michael Gahler, im Namen der PPE-Fraktion",1632,"Michael Gahler, on behalf of the PPE Group",15,"Use of armed drones (debate)",19,"with this resolution, however, we are also making it clear that we are of course against fully automated drones. and indeed, it must always be left up to a person and not an algorithm to determine whether the framework of international law is observed and whether the legitimate use of weapons is guaranteed. so we are in agreement on this question.","with this resolution, however, we are also making it clear that we are of course against fully automated drones. and indeed, it must always be left up to a person and not an algorithm to determine whether the framework of international law is observed and whether the legitimate use of weapons is guaranteed. so we are in agreement on this question.",TRUE,"Pessimist","No",NA,"No",NA,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)","Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)",6.65767785991233,534,66,27,"Right",9,"Pessimist",2014,"Pre-ChatGPT","Other EU Countries","male",0,0,0
3,"2023-10-13T00:30:53Z","en","2016-04-14-820160414EN1694",4,9,0,0,158943,"2016-04-14","Thursday, 14 April 2016 - Strasbourg","MEP","Saskaņa Sociāldemokrātiskā Partija","male","820160414EN1694","Latvia","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","en","Mamikins, Andrejs","Andrejs Mamikins (S&D)",1694,"Andrejs Mamikins (S&D)",12,"Autonomous driving (debate)",5,"another principal issue is security. you would not want to be kidnapped while still in your own car when it suddenly rushes off course. as a result, i fully support the idea that the commission, alongside national governments, should soon start drawing up a respective strategy for this area of transportation. having said that, we should never forget about skynet/terminator, with virtual intelligence turning into artificial intelligence and robots some day receiving rights of their own in a few decades, and that soon we might have to deal with the question of how much control we ourselves have over our own lives.","another principal issue is security. you would not want to be kidnapped while still in your own car when it suddenly rushes off course. as a result, i fully support the idea that the commission, alongside national governments, should soon start drawing up a respective strategy for this area of transportation. having said that, we should never forget about skynet/terminator, with virtual intelligence turning into artificial intelligence and robots some day receiving rights of their own in a few decades, and that soon we might have to deal with the question of how much control we ourselves have over our own lives.",TRUE,"Pessimist","Yes","In favor","No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Digital Transformation in Public Services, Security, and Infrastructure","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Pessimist",2016,"Pre-ChatGPT","Other EU Countries","male",0,0,0
4,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN30",2,8,0,0,181640,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Suomen Keskusta","male","820170215EN30","Finland","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","fi","Takkula, Hannu","Hannu Takkula (ALDE), vastaus sinisen kortin kysymykseen",30,"Hannu Takkula (ALDE), answer to the blue card question",4,"EU-Canada Comprehensive Economic and Trade Agreement - Conclusion of the EU-Canada CETA - EU-Canada Strategic Partnership Agreement (debate)",6,"on the other hand, as i stated, this is needed in terms of employment. it is good to remember that free trade creates jobs. automation, robots and artificial intelligence will take them. we need healthy free trade, and the focus is specifically on smes.","on the other hand, as i stated, this is needed in terms of employment. it is good to remember that free trade creates jobs. automation, robots and artificial intelligence will take them. we need healthy free trade, and the focus is specifically on smes.",TRUE,"Pessimist","No",NA,"No",8,NA,TRUE,5,"Education, Skills Development, and Workforce Transformation","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Digital Economy and Innovation Policy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Pessimist",2017,"Pre-ChatGPT","AI-Pessimistic Countries","male",1,0,0
5,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN331",20,38,1,0,181941,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","Rapporteur","Parti Ouvrier Socialiste Luxembourgeois","female","820170215EN331","Luxembourg","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","fr","Delvaux, Mady","Mady Delvaux, rapporteure",331,"Mady Delvaux, rapporteur",14,"Civil Law Rules on Robotics (debate)",18,"i would like to clarify two points from the outset: first, robots are not humans and there is no assimilate them to human beings, and secondly, european robotics industry and research are very successful and we intend to support them. robotics and artificial intelligence are sectors of the future. it is important that europe remains competitive in the global market. this is why the time has come to set out the principles that will serve as guidelines and a framework for the development of robotics. we must regulate, without excess, when necessary.","i would like to clarify two points from the outset: first, robots are not humans and there is no assimilate them to human beings, and secondly, european robotics industry and research are very successful and we intend to support them. robotics and artificial intelligence are sectors of the future. it is important that europe remains competitive in the global market. this is why the time has come to set out the principles that will serve as guidelines and a framework for the development of robotics. we must regulate, without excess, when necessary.",TRUE,"Optimist","Yes","In favor","No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Optimist",2017,"Pre-ChatGPT","AI-Pessimistic Countries","female",0,0,0
6,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN332",8,15,0,0,181942,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","Rapporteur For The Opinion Of The Committee On Civil Liberties, Justice And Home Affairs","Platforma Obywatelska","male","820170215EN332","Poland","Group Of The European People's Party (Christian Democrats)","en","Boni, Michal","Michał Boni, rapporteur for the opinion of the Committee on Civil Liberties, Justice and Home Affairs",332,"Michał Boni, rapporteur for the opinion of the Committee on Civil Liberties, Justice and Home Affairs",14,"Civil Law Rules on Robotics (debate)",7,"mr president, (inaudible) opportunities of robotics let us take the most recent ones firstly, the fast development of learning machines requires rules, european harmonised standards and the possibility to register all artificial intelligence and have it monitored secondly, ethical principles and respect for fundamental rights are crucial this should begin from the moment constructors start the work with algorithms on privacy and security, to make those by default","mr president, (inaudible) opportunities of robotics let us take the most recent ones firstly, the fast development of learning machines requires rules, european harmonised standards and the possibility to register all artificial intelligence and have it monitored secondly, ethical principles and respect for fundamental rights are crucial this should begin from the moment constructors start the work with algorithms on privacy and security, to make those by default",TRUE,"Optimist","Yes","In favor","Yes",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)","Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)",6.65767785991233,534,66,27,"Right",9,"Optimist",2017,"Pre-ChatGPT","Other EU Countries","male",0,0,0
8,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN336",4,9,0,0,181946,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","male","820170215EN336","Hungary","Non-Attached Members","hu","Kósa, Ádám","Ádám Kósa, A Foglalkoztatási és Szociális Bizottság véleményének előadója",336,"Ádám Kósa, presenter of the opinion of the Employment and Social Committee",14,"Civil Law Rules on Robotics (debate)",5,"dear colleagues! thanking the rapporteur for the year and a half of joint work, we are taking the initiative on behalf of the employment and social committee to investigate whether the spread of robots in itself will bring prosperity and development, when we already see that there is often no need for the work of people in the traditional in production and service structures in the short and medium term, robotics and artificial intelligence indeed promise benefits, but there is a fear that the number of jobs in this field will not increase to the extent that the number of jobs is expected to disappear","dear colleagues! thanking the rapporteur for the year and a half of joint work, we are taking the initiative on behalf of the employment and social committee to investigate whether the spread of robots in itself will bring prosperity and development, when we already see that there is often no need for the work of people in the traditional in production and service structures in the short and medium term, robotics and artificial intelligence indeed promise benefits, but there is a fear that the number of jobs in this field will not increase to the extent that the number of jobs is expected to disappear",TRUE,"Mixed","No",NA,"No",8,NA,TRUE,3,"Social Impacts and Inclusion in the Digital Transformation","Non-attached Members","Education, Skills Development, and Workforce Transformation","Non-attached Members",6.39090064688268,61,28,13,"Right",8,"Mixed",2017,"Pre-ChatGPT","Other EU Countries","male",0,1,0
9,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN337",10,17,0,1,181947,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","Rapporteur For The Opinion Of The Committee On Industry, Research And Energy","Eesti Reformierakond","female","820170215EN337","Estonia","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","en","Kallas, Kaja","Kaja Kallas, rapporteur for the opinion of the Committee on Industry, Research and Energy",337,"Kaja Kallas, rapporteur for the opinion of the Committee on Industry, Research and Energy",14,"Civil Law Rules on Robotics (debate)",7,"if we think about robots in terms of star wars and terminator, we get it wrong. robots and artificial intelligence are already here in our daily lives, helping us to solve complex tasks. i said ‘helping’ because robots need to compliment humans: both need to, and can, work as a team. our role is to drive policy that makes individuals active consumers of robots rather than passive ones. we cannot, however, have active and empowered individuals if we shift all the responsibility onto robots or manufacturers if something goes wrong. this is the problem with the strict liability approach or an electronic personality for robots.","if we think about robots in terms of star wars and terminator, we get it wrong. robots and artificial intelligence are already here in our daily lives, helping us to solve complex tasks. i said ‘helping’ because robots need to compliment humans: both need to, and can, work as a team. our role is to drive policy that makes individuals active consumers of robots rather than passive ones. we cannot, however, have active and empowered individuals if we shift all the responsibility onto robots or manufacturers if something goes wrong. this is the problem with the strict liability approach or an electronic personality for robots.",TRUE,"Optimist","No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Social Impacts and Inclusion in the Digital Transformation","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Optimist",2017,"Pre-ChatGPT","Other EU Countries","female",0,0,1
10,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN342",9,18,0,0,181952,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP On Behalf Of The Ecr Group","Internal Macedonian Revolutionary Organization","male","820170215EN342","Bulgaria","European Conservatives And Reformists Group","bg","Dzhambazki, Angel","Ангел Джамбазки, от името на групата ECR",342,"Angel Djambazki, on behalf of the ECR group",14,"Civil Law Rules on Robotics (debate)",9,"i agree that robotics and artificial intelligence are very rapidly advancing technologies in some sectors and discussion of the resulting issues is necessary. but let me reiterate my concerns, especially when it comes to this legislative proposal. not only are there issues of ethics, morality and societal impact that need to be thoroughly addressed, but there are also far more important, more fundamental issues, such as the application of the so-called ""universal approach of action"" in this matter.","i agree that robotics and artificial intelligence are very rapidly advancing technologies in some sectors and discussion of the resulting issues is necessary. but let me reiterate my concerns, especially when it comes to this legislative proposal. not only are there issues of ethics, morality and societal impact that need to be thoroughly addressed, but there are also far more important, more fundamental issues, such as the application of the so-called ""universal approach of action"" in this matter.",TRUE,"Pessimist","No",NA,"Yes",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","European Conservatives and Reformists Group","Ethical, Regulatory, and Governance Frameworks for AI","European Conservatives and Reformists Group",7.7692262698086,172,30,19,"Far-right",10,"Pessimist",2017,"Pre-ChatGPT","Other EU Countries","male",0,0,0
14,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN361",4,11,1,0,181971,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Vasemmistoliitto","female","820170215EN361","Finland","The Left Group In The European Parliament - GUE/NGL","fi","Kyllönen, Merja","Merja Kyllönen (GUE/NGL)",361,"Merja Kyllönen (GUE/NGL)",14,"Civil Law Rules on Robotics (debate)",7,"the coexistence of human and automated work will require new capabilities from both employees and management and an update of our training system and contract system. however, i believe we can approach this ongoing change with curiosity and optimism. we need a european regulatory framework that supports the development and utilization of automation, artificial intelligence and robotics.","the coexistence of human and automated work will require new capabilities from both employees and management and an update of our training system and contract system. however, i believe we can approach this ongoing change with curiosity and optimism. we need a european regulatory framework that supports the development and utilization of automation, artificial intelligence and robotics.",TRUE,"Optimist","Yes","In favor","No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","The Left Group in the European Parliament - GUE/NGL","Education, Skills Development, and Workforce Transformation","The Left Group in the European Parliament - GUE/NGL",1.95240070210526,76,22,14,"Far-left",1,"Optimist",2017,"Pre-ChatGPT","AI-Pessimistic Countries","female",0,1,0
15,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN363",4,25,0,0,181973,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Partidul Naţional Liberal","male","820170215EN363","Romania","Group Of The European People's Party (Christian Democrats)","ro","Buda, Daniel","Daniel Buda (PPE)",363,"Daniel Buda (PPE)",14,"Civil Law Rules on Robotics (debate)",21,"today we are witnessing an industrial revolution in which artificial intelligence and robotics have become the most important technological trends of the century. their development has led to an increase in the efficiency of economies, but also in the level of safety in the commercial sector, transport, medical services and education. no less important is the fact that jobs have been created in the field of technological development, research and innovation being encouraged. research, commercialization and widespread use of these technologies, while ensuring that safety is fully respected.","today we are witnessing an industrial revolution in which artificial intelligence and robotics have become the most important technological trends of the century. their development has led to an increase in the efficiency of economies, but also in the level of safety in the commercial sector, transport, medical services and education. no less important is the fact that jobs have been created in the field of technological development, research and innovation being encouraged. research, commercialization and widespread use of these technologies, while ensuring that safety is fully respected.",TRUE,"Optimist","No",NA,"No",8,NA,TRUE,1,"Digital Economy and Innovation Policy","Group of the European People's Party (Christian Democrats)","Digital Economy and Innovation Policy","Group of the European People's Party (Christian Democrats)",6.65767785991233,534,66,27,"Right",9,"Optimist",2017,"Pre-ChatGPT","AI-Optimistic Countries","male",1,0,0
