politicalGroup_normalized,weighted_position,weighted_eu_position,total_meps,n_parties,n_countries,min_score,max_score,political_orientation,rank_left_right
The Left Group in the European Parliament - GUE/NGL,1.9514896085380264,4.04507551514142,74,22,14,0.80000001,8.777777671813965,Extrême gauche,1
Confederal Group of the European United Left - Nordic Green Left,2.0783964610070953,3.3282491164060644,41,18,12,1,8.777777671813965,Extrême gauche,2
Group of the Greens/European Free Alliance,3.0932243334588154,6.141759525543976,144,40,18,2.05,7.7777777,Gauche,3
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3.716606573674493,6.206698880396641,431,52,27,1.0384616,6.3333335,Gauche,4
Europe of Freedom and Direct Democracy Group,5.449956784572467,1.4447763481278368,17,4,4,4.666666507720947,9.3928576,Centre,5
Renew Europe Group,5.848544551407905,6.155287436260344,152,45,24,2.5,8.777777671813965,Centre,6
Alliance of Liberals and Democrats for Europe Group,6.066522562753648,6.046319072909194,52,30,18,3.8571429,7.888888835906982,Droite,7
Non-attached Members,6.390900646882679,2.8781206757591624,61,28,13,0.5,10,Droite,8
Group of the European People's Party (Christian Democrats),6.7105891781968525,6.045347822365532,514,66,27,4.400000095367432,8.6111107,Droite,9
European Conservatives and Reformists Group,7.76828443146903,3.1639742036657457,175,31,19,3.615384578704834,9.3999996,Extrême droite,10
Patriots for Europe Group,8.492625426506024,2.311516546987952,83,14,13,4.2162161,9.4444447,Extrême droite,11
Identity and Democracy Group,8.85176997096774,1.8477697274193547,62,8,8,8,9.333333,Extrême droite,12
Europe of Sovereign Nations Group,9.133067756,1.738856376,25,7,7,8.1999998,9.727273,Extrême droite,13
Europe of Nations and Freedom Group,9.289610449473063,1.321168847878774,30,6,5,8.699999809265137,9.636363983154297,Extrême droite,14
