"year_month","total_interventions","ia_interventions","proportion_ia","year"
2014-01-01,3317,0,0,2014
2014-02-01,6735,1,0.0148478099480327,2014
2014-03-01,4455,0,0,2014
2014-04-01,6541,0,0,2014
2014-07-01,1255,0,0,2014
2014-09-01,1861,0,0,2014
2014-10-01,2108,0,0,2014
2014-11-01,4040,1,0.0247524752475248,2014
2014-12-01,4380,0,0,2014
2015-01-01,2949,0,0,2015
2015-02-01,4738,0,0,2015
2015-03-01,7772,0,0,2015
2015-04-01,12127,0,0,2015
2015-05-01,5158,0,0,2015
2015-06-01,4453,0,0,2015
2015-07-01,6955,0,0,2015
2015-09-01,7083,0,0,2015
2015-10-01,13400,0,0,2015
2015-11-01,6008,0,0,2015
2015-12-01,8842,0,0,2015
2016-01-01,5202,0,0,2016
2016-02-01,8942,0,0,2016
2016-03-01,5593,0,0,2016
2016-04-01,17212,1,0.0058099000697188,2016
2016-05-01,6944,0,0,2016
2016-06-01,10173,0,0,2016
2016-07-01,5741,0,0,2016
2016-09-01,7434,1,0.0134517083669626,2016
2016-10-01,12636,1,0.00791389680278569,2016
2016-11-01,6308,0,0,2016
2016-12-01,9064,0,0,2016
2017-01-01,480,0,0,2017
2017-02-01,1848,16,0.865800865800866,2017
2017-03-01,1748,4,0.22883295194508,2017
2017-04-01,1891,1,0.0528820729772607,2017
2017-05-01,1538,5,0.325097529258778,2017
2017-06-01,1375,0,0,2017
2017-07-01,1318,0,0,2017
2017-09-01,1293,1,0.0773395204949729,2017
2017-10-01,2232,1,0.0448028673835125,2017
2017-11-01,1704,0,0,2017
2017-12-01,1187,0,0,2017
2018-01-01,1181,1,0.0846740050804403,2018
2018-02-01,1550,0,0,2018
2018-03-01,1479,0,0,2018
2018-04-01,1278,3,0.234741784037559,2018
2018-05-01,1827,2,0.109469074986316,2018
2018-06-01,1283,0,0,2018
2018-07-01,1104,3,0.271739130434783,2018
2018-09-01,1173,12,1.0230179028133,2018
2018-10-01,2320,11,0.474137931034483,2018
2018-11-01,1540,4,0.25974025974026,2018
2018-12-01,1130,5,0.442477876106195,2018
2019-01-01,1574,2,0.127064803049555,2019
2019-02-01,1260,17,1.34920634920635,2019
2019-03-01,2482,5,0.201450443190975,2019
2019-04-01,1550,3,0.193548387096774,2019
2019-07-01,652,0,0,2019
2019-09-01,964,5,0.518672199170124,2019
2019-10-01,1503,1,0.0665335994677312,2019
2019-11-01,1481,3,0.202565833896016,2019
2019-12-01,1110,10,0.900900900900901,2019
2020-01-01,1827,9,0.492610837438424,2020
2020-02-01,1319,31,2.3502653525398,2020
2020-03-01,382,0,0,2020
2020-04-01,154,1,0.649350649350649,2020
2020-05-01,388,0,0,2020
2020-06-01,437,0,0,2020
2020-07-01,537,2,0.37243947858473,2020
2020-09-01,617,3,0.486223662884927,2020
2020-10-01,1325,41,3.09433962264151,2020
2020-11-01,1037,8,0.77145612343298,2020
2020-12-01,767,4,0.521512385919166,2020
2021-01-01,909,3,0.33003300330033,2021
2021-02-01,912,5,0.548245614035088,2021
2021-03-01,1397,10,0.715819613457409,2021
2021-04-01,1031,10,0.969932104752667,2021
2021-05-01,1066,56,5.25328330206379,2021
2021-06-01,1356,6,0.442477876106195,2021
2021-07-01,983,4,0.406917599186165,2021
2021-09-01,998,7,0.701402805611222,2021
2021-10-01,1991,30,1.50678051230537,2021
2021-11-01,1227,12,0.97799511002445,2021
2021-12-01,930,2,0.21505376344086,2021
2022-01-01,504,3,0.595238095238095,2022
2022-02-01,1025,3,0.292682926829268,2022
2022-03-01,1483,3,0.202292650033715,2022
2022-04-01,1054,2,0.189753320683112,2022
2022-05-01,1494,44,2.94511378848728,2022
2022-06-01,1513,0,0,2022
2022-07-01,1158,7,0.604490500863558,2022
2022-09-01,1143,0,0,2022
2022-10-01,2323,8,0.344382264313388,2022
2022-11-01,1586,3,0.189155107187894,2022
2022-12-01,1212,2,0.165016501650165,2022
2023-01-01,1186,4,0.337268128161889,2023
2023-02-01,1460,4,0.273972602739726,2023
2023-03-01,1646,3,0.182260024301337,2023
2023-05-01,1377,2,0.145243282498184,2023
2023-06-01,1261,57,4.52022204599524,2023
2023-07-01,1191,27,2.26700251889169,2023
2023-09-01,1217,6,0.493015612161052,2023
2023-10-01,1513,16,1.05750165234633,2023
2023-11-01,325,2,0.615384615384615,2023
2024-01-01,2516,9,0.357710651828299,2024
2024-02-01,4787,18,0.376018383120953,2024
2024-03-01,2390,38,1.58995815899582,2024
2024-04-01,1540,4,0.25974025974026,2024
2024-07-01,149,1,0.671140939597315,2024
2024-09-01,1232,8,0.649350649350649,2024
2024-10-01,2582,13,0.503485670023238,2024
2024-11-01,1710,4,0.233918128654971,2024
2024-12-01,1314,11,0.837138508371385,2024
