country,nationalPoliticalGroup,chapel_hill_party_name,chapel_hill_party_id
Austria,Die Grünen - Die Grüne Alternative,Die Grünen,1304
Austria,Freiheitliche Partei Österreichs,Freedom Party of Austria,1303
Austria,NEOS – Das Neue Österreich,NEOS,1306
Austria,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1301
Austria,Österreichische Volkspartei,Austrian People's Party,1302
Belgium,Centre Démocrate Humaniste,CDH,108
Belgium,Christen-Democratisch & Vlaams,CD&V,109
Belgium,Christlich Soziale Partei,CD&V,109
Belgium,Ecologistes Confédérés pour l'Organisation de Luttes Originales,ECOLO,104
Belgium,Groen,Groen,105
Belgium,Mouvement Réformateur,MR,106
Belgium,Nieuw-Vlaamse Alliantie,NVA,110
Belgium,Open Vlaamse Liberalen en Democraten,Open Vlaamse Liberalen en Democraten,107
Belgium,PVDA-PTB,PVDA-PTB,119
Belgium,Parti Socialiste,Parti Socialiste,102
Belgium,Parti du Travail de Belgique,PVDA-PTB,119
Belgium,Socialistische Partij.Anders,Socialistische Partij,103
Belgium,Vlaams Belang,Vlaams Belang,112
Bulgaria,Bulgarian Socialist Party,BSP,2003
Bulgaria,Citizens for European Development of Bulgaria,Citizens for European Development of Bulgaria,2010
Bulgaria,Democrats for Strong Bulgaria,Democrats for a Strong Bulgaria,2008
Bulgaria,Movement for Rights and Freedoms,Movement for Rights and Freedoms,2004
Bulgaria,Revival,Vazrazhdane,2020
Bulgaria,There Is Such a People,Party of Slavi Trifonov,2019
Bulgaria,Union of Democratic Forces,ODS,2002
Bulgaria,VMRO,VMRO-BND,2005
Bulgaria,We continue the change – Democratic Bulgaria,We Continue the Change,2021
Croatia,Građansko-liberalni savez,Hrvatska Socijalno Liberalna Stranka,3104
Croatia,Hrvatska demokratska zajednica,Croatian Democratic Union,3101
Croatia,Hrvatska konzervativna stranka,Croatian Conservative Party,3119
Croatia,Independent,Most nezavisnih lista,3115
Croatia,Istarski demokratski sabor - Dieta democratica istriana,Istarski Demokratski Sabor,3106
Croatia,Možemo!,We Can!,3120
Croatia,Socijaldemokratska partija Hrvatske,Social Democratic Party of Croatia,3102
Cyprus,Democratic Party,DIKO,4004
Cyprus,Democratic Rally,DISY,4001
Cyprus,Movement for Social Democracy EDEK,Movement for Social Democracy EDEK,4005
Cyprus,Progressive Party of Working People - Left - New Forces,Progressive Party of Working People,4003
Cyprus,Εθνικό Λαϊκό Μέτωπο,National Popular Front,4009
Czechia,ANO 2011,ANO 2011,2111
Czechia,Independent,Independents,2108
Czechia,Komunistická strana Čech a Moravy,Communist Party of Bohemia and Moravia,2103
Czechia,Křesťanská a demokratická unie - Československá strana lidová,KDU-CSL,2104
Czechia,Motoristé sobě,Motorists for Themselves,2118
Czechia,Občanská demokratická strana,Civic Democratic Party,2102
Czechia,PIRÁTI,Czech Pirate Party,2114
Czechia,Přísaha,Oath,2117
Czechia,Starostové a nezávisli,Mayors and Independents,2116
Czechia,Strana svobodných občanů,Party of Free Citizens,2113
Czechia,Svoboda a přímá demokracie,Freedom and Direct Democracy Tomio Okamura,2115
Czechia,TOP 09 a Starostové,Mayors and Independents,2116
Czechia,Česká strana sociálně demokratická,Czech Social Democratic Party,2101
Denmark,Danmarksdemokraterne,Danmarksdemokraterne,222
Denmark,Dansk Folkeparti,Danish People's Party,215
Denmark,Det Konservative Folkeparti,Conservative People's Party,203
Denmark,Det Radikale Venstre,Det Radikale Venstre,202
Denmark,Enhedslisten,Enhedslisten—De Rød-Grønne,213
Denmark,Folkebevægelsen mod EU,People's Movement Against the EU,217
Denmark,Liberal Alliance,Liberal Alliance,218
Denmark,Moderaterne,Moderaterne,221
Denmark,Socialdemokratiet,Social Democrats,201
Denmark,Socialistisk Folkeparti,Socialist People's Party,206
Denmark,"Venstre, Danmarks Liberale Parti",Venstre,211
Estonia,Eesti Keskerakond,Estonian Center Party,2202
Estonia,Eesti Konservatiivne Rahvaerakond,Eesti Konservatiivne Rahvaerakond,2209
Estonia,Eesti Reformierakond,Estonian Reform Party,2203
Estonia,Isamaa,Erakond Isamaa ja Res Publica Liit,2201
Estonia,Sotsiaaldemokraatlik Erakond,SDE,2204
Finland,Kansallinen Kokoomus,National Coalition Party,1402
Finland,Perussuomalaiset,Perussuomalaiset,1405
Finland,Suomen Keskusta,Finnish Center Party,1403
Finland,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Social Democratic Party of Finland,1401
Finland,Svenska folkpartiet,RKP/SFP,1406
Finland,Vasemmistoliitto,Left Alliance,1404
Finland,Vihreä liitto,Green League,1408
France,Agir - La Droite constructive,The Right,618
France,Debout la France,Debout la France,628
France,Europe Écologie,EELV,605
France,Front de Gauche,Parti de Gauche,624
France,Front national,Front National,610
France,Gauche républicaine et socialiste,Parti Socialiste,602
France,Horizons,Horizons,631
France,La France Insoumise,La France Insoumise,627
France,La République en marche,La République En Marche,626
France,Les Républicains,LR,609
France,Les centristes,Alliance centriste,623
France,Les radicaux de Gauche,Parti Radical de Gauche,603
France,Les Écologistes,Les Verts,605
France,Liste L'Europe Ensemble,Ensemble,625
France,Liste Renaissance,La République En Marche,626
France,Mouvement Démocrate,MoDem,613
France,Mouvement Radical,Parti radical,622
France,Parti socialiste,Parti Socialiste,602
France,Rassemblement bleu Marine,Front National,610
France,Rassemblement national,RN,610
France,Reconquête!,Reconquête,630
France,Renaissance,La République En Marche,626
France,Union des Démocrates et Indépendants,Union pour la Démocratie Française,613
France,Union des démocrates et indépendants,Union pour la Démocratie Française,613
Germany,Alternative für Deutschland,AfD,310
Germany,Bündnis 90/Die Grünen,Die Grünen,304
Germany,Bündnis C,Bündnis 90,304
Germany,Christlich Demokratische Union Deutschlands,Christlich Demokratische Union Deutschlands,301
Germany,Christlich-Soziale Union in Bayern e.V.,Christian Social Union in Bavaria,308
Germany,DIE LINKE.,Linke,306
Germany,Freie Demokratische Partei,Freie Demokratische Partei,303
Germany,Liberal-Conservative Refomists,FDP,303
Germany,Nationaldemokratische Partei Deutschlands,NPD,309
Germany,Partei Mensch Umwelt Tierschutz,Mensch Umwelt Tierschutz,312
Germany,Piratenpartei Deutschland,Pirate Party of Germany,311
Germany,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,302
Greece,Coalition of the Radical Left,SYRIZA,403
Greece,Communist Party of Greece,Communist Party of Greece,404
Greece,Dimokratikó Patriotikó Kínima «NIKI»,Niki,419
Greece,Elliniki Lusi-Greek Solution,Ellinikí Lísi,416
Greece,Foní Loyikís,Foní Loyikís,421
Greece,Greece-The Alternative Road,Independent Greeks,412
Greece,Independent,Independent Greeks,412
Greece,Nea Demokratia,New Democracy,402
Greece,PASOK-KINAL,PASOK,401
Greece,Panhellenic Socialist Movement - Olive Tree,Panhellenic Socialist Movement,401
Greece,Plefsi Eleftherias,Plefsi Eleftherias,420
Greece,Popular Association – Golden Dawn,Popular Association—Golden Dawn,415
Greece,The River,The River,413
Hungary,Demokratikus Koalíció,Demokratikus Koalíció,2311
Hungary,Együtt 2014 - Párbeszéd Magyarországért,Együtt 2014,2310
Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Fidesz—Magyar Polgári Szövetség Fidesz—Kereszténydemokrata Néppárt,2302
Hungary,Jobbik Magyarországért Mozgalom,JOBBIK,2308
Hungary,Jobbik – Konzervatívok,JOBBIK,2308
Hungary,Kereszténydemokrata Néppárt,Kereszténydemokrata Néppárt,2307
Hungary,Lehet Más A Politika,Lehet Más a Politika,2309
Hungary,Magyar Szocialista Párt,Hungarian Socialist Party,2301
Hungary,Mi Hazánk Mozgalom,Our Homeland Movement,2316
Hungary,Momentum,Momentum Movement,2314
Ireland,Fianna Fáil Party,Fianna Fáil,701
Ireland,Fine Gael Party,Fine Gael,702
Ireland,Green Party,Green Party,705
Ireland,Independents for change,Independents for Change,711
Ireland,Labour Party,Labour,703
Ireland,Sinn Féin,Sinn Féin,707
Italy,Alleanza Verdi e Sinistra,Europa Verde,850
Italy,Azione - Italia Viva,Azione-Italia Viva,849
Italy,Europa Verde - Verdi,Europa Verde,850
Italy,FRATELLI D' ITALIA,Fratelli d'Italia,844
Italy,Forza Italia,Forza Italia,815
Italy,Fratelli d'Italia,Fratelli d'Italia,844
Italy,Lega,Lega Nord,811
Italy,Lega Nord,Lega Nord,811
Italy,Movimento 5 Stelle,Five Star Movement,845
Italy,Partito Democratico,Democratic Party,837
Italy,Sinistra Italiana,Sinistra e Libertà,838
Italy,Südtiroler Volkspartei,South Tyrolean People's Party,827
Italy,Unione di Centro,Centro Cristiano Democratico,814
Latvia,"""Saskaņa"" sociāldemokrātiskā partija","Sociāldemokrātiskā Partija ""Saskaņa""",2410
Latvia,Attīstībai/Par!,Attīstībai/Par!,2417
Latvia,Jaunā Vienotība,Vienotība,2412
Latvia,Latvija pirmajā vietā,Latvia First,2419
Latvia,Latvijas Krievu savienība,Saskaņas Centrs,2410
Latvia,Latvijas attīstībai,Attīstībai/Par!,2417
Latvia,"Partija ""VIENOTĪBA""",Vienotība,2412
Latvia,Progresīvie,Progresivie,2420
Latvia,Zaļo un Zemnieku savienība,Union of Greens and Farmers,2405
Lithuania,Darbo partija,Darbo partija,2516
Lithuania,Demokratų sąjunga „Vardan Lietuvos“,Union of Democrats,2526
Lithuania,Laisvės partija,Freedom Party,2524
Lithuania,Liberalų sąjūdis,Liberalų sąjūdis,2518
Lithuania,Lietuvos Respublikos liberalų sąjūdis,Lietuvos Respublikos Liberalų Sąjūdis,2518
Lithuania,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,Lietuvos lenkų rinkimų akcija,2511
Lithuania,Lietuvos socialdemokratų partija,Lietuvos socialdemokratų partija,2501
Lithuania,Lietuvos valstiečių ir žaliųjų sąjunga,Lietuvos valstiečių partija,2507
Lithuania,Partija Tvarka ir teisingumas,Tvarka ir teisingumas,2515
Lithuania,Tautos ir teisingumo sąjunga,Tvarka ir teisingumas,2515
Lithuania,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Homeland Union—Lithuanian Christian Democrats,2506
Luxembourg,Alternativ Demokratesch Reformpartei,Alternativ Demokratesch Reformpartei,3805
Luxembourg,Déi Gréng - Les Verts,Déi Gréng,3802
Luxembourg,Parti chrétien social luxembourgeois,Christian Social People's Party,3801
Luxembourg,Parti démocratique,Democratic Party,3803
Luxembourg,Parti ouvrier socialiste luxembourgeois,LSAP,3804
Malta,Partit Laburista,Partit Laburista,3701
Malta,Partit Nazzjonalista,Nationalist Party,3702
Netherlands,BoerBurgerBeweging,BBB,1054
Netherlands,Christen Democratisch Appèl,CDA,1001
Netherlands,ChristenUnie,ChristenUnie,1016
Netherlands,Democraten 66,D66,1004
Netherlands,Forum voor Democratie,Forum for Democracy,1051
Netherlands,GroenLinks,GroenLinks,1005
Netherlands,Nieuw Sociaal Contract,NSC,1056
Netherlands,Partij van de Arbeid,Labour Party,1002
Netherlands,Partij voor de Dieren,Party for the Animals,1018
Netherlands,Partij voor de Vrijheid,Party for Freedom,1017
Netherlands,Socialistische Partij,Socialist Party,1014
Netherlands,Staatkundig Gereformeerde Partij,SGP,1006
Netherlands,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democracy,1003
Netherlands,Volt,Volt,1052
Poland,Inicjatywa Polska,Civic Platform,2603
Poland,Konfederacja Korony Polskiej,Konfederacja Wolność i Niepodległość,2619
Poland,Konfederacja Wolność i Niepodległość,Konfederacja Wolność i Niepodległość,2619
Poland,Kongres Nowej Prawicy,Congress of the New Right,2614
Poland,Nowa Lewica,Left Together,2620
Poland,Platforma Obywatelska,Civic Platform,2603
Poland,Polska 2050,Poland 2050,2623
Poland,Polskie Stronnictwo Ludowe,Polish People's Party,2606
Poland,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,2605
Poland,Sojusz Lewicy Demokratycznej,Alliance of Democratic Left,2601
Poland,Sojusz Lewicy Demokratycznej - Unia Pracy,Sojusz Lewicy Demokratycznej,2601
Poland,Solidarna Polska Zbigniewa Ziobro,Solidarna Polska,2616
Poland,Unia Pracy,Union of Labour,2602
Poland,Wolność,Konfederacja Wolność i Niepodległość,2619
Portugal,Bloco de Esquerda,Bloco de Esquerda,1208
Portugal,Chega,Chega,1253
Portugal,Iniciativa Liberal,Iniciativa Liberal,1252
Portugal,Partido Comunista Português,Partido Comunista Português,1210
Portugal,Partido Democrático Republicano,Partido Popular Democrático,1206
Portugal,Partido Popular,Centro Democrático e Social—Partido Popular,1202
Portugal,Partido Social Democrata,PSD,1206
Portugal,Partido Socialista,Socialist Party,1205
Portugal,Partido da Terra,Partido da Terra,1209
Portugal,Partido do Centro Democrático Social-Partido Popular,CDS-PP,1202
Romania,ALDE Romania,Partidul Liberal Reformator,2712
Romania,Alianța pentru Unirea Românilor,AUR,2715
Romania,PRO Romania,PRO Romania,2714
Romania,Partidul Mișcarea Populară,People's Movement Party,2711
Romania,Partidul Naţional Liberal,National Liberal Party,2705
Romania,Partidul Puterii Umaniste,Partidul Umanist din Romania,2702
Romania,Partidul Social Democrat,Partidul Social Democrat,2701
Romania,Partidul Umanist Social Liberal,Partidul Umanist din Romania,2702
Romania,S.O.S. România,S.O.S. Romania,2716
Romania,Uniunea Democrată Maghiară din România,Hungarian Democratic Union of Romania,2706
Romania,Uniunea Salvați România,Save Romania Union,2713
Slovakia,Hlas – sociálna demokracia,Hlas,2823
Slovakia,Hnutie Republika,Republika,2824
