"group_label","post_chatgpt_factor","n","pct_pessimist","pct_mixed","pct_optimist"
"ECR","Pre-ChatGPT",31,35.5,32.3,32.3
"ECR","Post-ChatGPT",11,54.5,36.4,9.1
"EPP","Pre-ChatGPT",80,15,23.8,61.3
"EPP","Post-ChatGPT",49,16.3,44.9,38.8
"GUE/NGL","Pre-ChatGPT",18,44.4,27.8,27.8
"GUE/NGL","Post-ChatGPT",6,16.7,83.3,0
"Greens/EFA","Pre-ChatGPT",15,66.7,26.7,6.7
"Greens/EFA","Post-ChatGPT",11,54.5,36.4,9.1
"ID","Pre-ChatGPT",11,18.2,45.5,36.4
"ID","Post-ChatGPT",5,20,40,40
"NI","Pre-ChatGPT",18,27.8,33.3,38.9
"NI","Post-ChatGPT",9,77.8,22.2,0
"Renew","Pre-ChatGPT",40,17.5,40,42.5
"Renew","Post-ChatGPT",20,30,35,35
"S&D","Pre-ChatGPT",62,35.5,25.8,38.7
"S&D","Post-ChatGPT",41,56.1,26.8,17.1
