"year","panel","interventions"
2014,"Contextual",1
2014,"Mixed/Realist",0
2014,"Optimist",0
2014,"Pessimist",1
2015,"Contextual",0
2015,"Mixed/Realist",0
2015,"Optimist",0
2015,"Pessimist",0
2016,"Contextual",1
2016,"Mixed/Realist",0
2016,"Optimist",1
2016,"Pessimist",1
2017,"Contextual",8
2017,"Mixed/Realist",2
2017,"Optimist",9
2017,"Pessimist",6
2018,"Contextual",18
2018,"Mixed/Realist",2
2018,"Optimist",5
2018,"Pessimist",8
2019,"Contextual",12
2019,"Mixed/Realist",8
2019,"Optimist",10
2019,"Pessimist",8
2020,"Contextual",25
2020,"Mixed/Realist",16
2020,"Optimist",35
2020,"Pessimist",10
2021,"Contextual",37
2021,"Mixed/Realist",34
2021,"Optimist",39
2021,"Pessimist",20
2022,"Contextual",11
2022,"Mixed/Realist",19
2022,"Optimist",18
2022,"Pessimist",23
2023,"Contextual",24
2023,"Mixed/Realist",35
2023,"Optimist",25
2023,"Pessimist",24
2024,"Contextual",21
2024,"Mixed/Realist",22
2024,"Optimist",13
2024,"Pessimist",35
