politicalGroup_normalized,weighted_position,total_meps,n_parties,n_countries,political_orientation,rank_left_right
The Left Group in the European Parliament - GUE/NGL,1.9524007021052632,76,22,14,Far-left,1
Confederal Group of the European United Left - Nordic Green Left,2.0783964610070953,41,18,12,Far-left,2
Group of the Greens/European Free Alliance,3.0916415145073253,146,42,19,Left,3
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3.7105410047817893,431,52,27,Left,4
Europe of Freedom and Direct Democracy Group,5.449956784572467,17,4,4,Center,5
Renew Europe Group,5.850030506584425,154,45,24,Center,6
Alliance of Liberals and Democrats for Europe Group,6.066522562753648,52,30,18,Right,7
Non-attached Members,6.390900646882679,61,28,13,Right,8
Group of the European People's Party (Christian Democrats),6.657677859912327,534,66,27,Right,9
European Conservatives and Reformists Group,7.7692262698086045,172,30,19,Far-right,10
Patriots for Europe Group,8.474147455952382,84,14,13,Far-right,11
Identity and Democracy Group,8.85176997096774,62,8,8,Far-right,12
Europe of Sovereign Nations Group,9.143059673076923,26,7,7,Far-right,13
Europe of Nations and Freedom Group,9.289610449473063,30,6,5,Far-right,14
